"caller_id","callee_id","date","time","call_duration","cell_id","imei"
"34726616838","394717831","20080307","12:50:01","99","1435","356426018288640"
"34726616838","394717831","20080307","12:51:59","27","1435","356426018288640"
"34726616838","394817431","20080307","11:55:52","78","125","356426018288640"
"34726616838","7967915839","20080307","15:03:37","25","1433","356426018288640"
"34726616838","7967915839","20080307","15:17:44","15","1433","356426018288640"
"34726616838","7967915839","20080307","14:30:03","105","1435","356426018288640"
"34726616838","7967915839","20080307","14:55:45","14","1435","356426018288640"
"34726616838","7967915839","20080307","15:38:54","240","1435","356426018288640"
"34726616838","9141515835","20080307","17:00:16","24","1435","356426018288640"
"34726616838","9141515835","20080307","21:20:46","1024","017E","356426018288640"
"34726616838","9141515835","20080306","21:17:46","248","14DD","356426018288640"
"34726616838","9141515835","20080307","21:16:55","151","14DF","356426018288640"
"34726616838","25899519536","20080307","12:23:43","10","1433","356426018288640"
"34726616838","25899519536","20080307","12:52:40","21","1435","356426018288640"
"34726616838","25899519536","20080307","12:21:30","16","1435","356426018288640"
"34726616838","25899519536","20080307","13:48:12","29","1435","356426018288640"
"34726616838","25899519536","20080307","12:57:39","371","1435","356426018288640"
"34726616838","25899519536","20080307","13:06:55","73","1435","356426018288640"
"34726616838","25899519536","20080307","13:11:56","17","1435","356426018288640"
"34726616838","25899519536","20080307","13:20:02","459","1435","356426018288640"
"34726616838","25899519536","20080307","15:02:20","31","1435","356426018288640"
"34726616838","25899519536","20080307","11:32:08","10","017E","356426018288640"
"34726616838","25899519536","20080307","11:38:31","138","14DD","356426018288640"
"34726616838","25899519536","20080307","11:32:34","116","14DF","356426018288640"
"34726616838","31500300600","20080307","11:22:54","41","125","356426018288640"
"34726616838","31500300600","20080307","18:40:17","29","14DD","356426018288640"
"34726616838","33323212438","20080307","12:18:18","149","1435","356426018288640"
"34726616838","33323212438","20080307","17:34:52","40","000D","356426018288640"
"34726616838","33323212438","20080306","22:06:24","191","017E","356426018288640"
"34726616838","33550000009","20080307","12:46:43","60","1433","356426018288640"
"34726616838","33550000009","20080307","14:36:41","52","1435","356426018288640"
"34726616838","33550000009","20080307","14:37:53","41","1435","356426018288640"
"34726616838","33550000009","20080307","13:35:28","58","1435","356426018288640"
"34726616838","33550000009","20080307","13:42:14","42","1435","356426018288640"
"34726616838","36948512255","20080306","12:29:55","273","1433","356426018288640"
"34726616838","38966219939","20080307","12:16:02","65","1433","356426018288640"
"34726616838","38966219939","20080307","14:16:53","6","1433","356426018288640"
"34726616838","38966219939","20080307","14:00:59","8","1433","356426018288640"
"34726616838","38966219939","20080307","13:17:33","118","1433","356426018288640"
"34726616838","38966219939","20080307","12:53:40","148","1435","356426018288640"
"34726616838","38966219939","20080307","12:56:25","28","1435","356426018288640"
"34726616838","38966219939","20080307","14:07:13","12","1435","356426018288640"
"34726616838","38966219939","20080307","14:20:31","12","1435","356426018288640"
"34726616838","38966219939","20080307","14:49:59","78","1435","356426018288640"
"34726616838","38966219939","20080307","15:33:36","38","1435","356426018288640"
"34726616838","38966219939","20080307","11:14:17","30","000C","356426018288640"
"34726616838","38966219939","20080307","11:45:30","479","000D","356426018288640"
"34726616838","38966219939","20080307","11:35:24","57","017E","356426018288640"
"34726616838","38966219939","20080307","11:28:03","22","017E","356426018288640"
"34726616838","50949318733","20080306","11:44:04","66","1435","356426018288640"
"34726616838","53430200302","20080307","14:45:24","245","1435","356426018288640"
"34726616838","56526818835","20080307","14:10:00","194","1435","356426018288640"
"34726616838","60460600301","20080307","16:25:57","24","1435","356426018288640"
"34726616838","60460600301","20080307","16:28:23","14","1435","356426018288640"
"34726616838","60460600301","20080307","16:30:26","451","1435","356426018288640"
"34726616838","60460600301","20080307","16:41:02","31","1435","356426018288640"
"34726616838","60460600301","20080307","17:14:20","755","1435","356426018288640"
"34726616838","60460600301","20080307","17:06:28","8","1435","356426018288640"
"34726616838","60460600301","20080307","17:09:07","10","1435","356426018288640"
"34726616838","60460600301","20080307","17:11:04","30","1435","356426018288640"
"34726616838","60460600301","20080307","16:55:41","19","1435","356426018288640"
